participant,movement_name,joint_name,angle_type,side,arom_deg,prom_deg,mi4l,arom_confidence,prom_confidence,mi4l_valid,qc_flags,assist_gap,peak_hold_time_s,peak_band_std_deg,time_to_peak_s,fit_r2,fit_rmse_deg,jerk_rms,torso_angle_change_deg,pelvis_drift_norm,frames_valid_pct,avg_landmark_visibility,grip_width_shoulder_widths,grip_ratio_normalized,confidence,plateau_duration_s
P08,Bilateral Leg Straddle,hip,vector-vector,both,140.2466125,145.1826019,0.03399849096,1,1,TRUE,,4.93598938,2.100801527,0.7846198117,1.934071247,0.7852483935,20.04746349,1615.472553,0.3158606425,0.002477417909,80.15267176,0.8236671968,,,,
P08,Kneeling Knee Flexion,knee,vector-reference,left,71.65411758,87.90471649,0.1848660636,1,1,TRUE,,16.25059891,0.900483871,0.5953545752,1.800967742,0.8019886523,11.47235428,1023.965447,0.3070642734,0.006684376352,98.92473118,0.8701241341,,,,
P08,Kneeling Knee Flexion,knee,vector-reference,right,70.12587738,87.46348953,0.1982268515,1,1,TRUE,,17.33761215,0.3668412698,0.5673228811,2.367793651,0.749213188,12.0691108,629.6840812,0.2617335493,0.004940022725,100,0.7946251896,,,,
P08,Prone Trunk Extension,trunk,vector-reference,both,52.77173615,71.38174438,0.2607110319,1,1,TRUE,,18.61000824,0.3667939815,0.2441937005,3.234456019,0.8983800613,5.717425268,581.5402225,0.2513749351,0.001345040032,100,0.8917773378,,,,
P08,Shoulder Flexion,shoulder,vector-vector,left,179.6352234,178.8323441,-0.004489564445,1,1,TRUE,,-0.8028793335,1.4004375,0.7715581946,3.0009375,0.9281734687,20.21303916,855.1783347,0.5770981859,0.007110185926,100,0.7959643678,,,,
P08,Shoulder Flexion,shoulder,vector-vector,right,179.8648529,178.48909,-0.00770782651,1,1,TRUE,,-1.375762939,3.034718417,1.184919774,3.068066971,0.8947277279,26.14905101,808.4380022,1.700259625,0.01335150702,100,0.8037798639,,,,
P08,Shoulder Stick Pass-Through,shoulder,distance,both,,,,,,,,,,,,,,,,,100,0.9738761534,2.858752651,0.3498029113,1,6.403316062
P08,Standing Hip Abduction,hip,vector-reference,left,92.42741394,144.6864853,0.3611883394,1,1,TRUE,,52.25907135,0.6335517241,0.2795583539,2.534206897,0.7945943433,17.16989718,653.2114554,0.05384640549,0.001034970469,100,0.9787721157,,,,
P08,Standing Hip Abduction,hip,vector-reference,right,77.21517944,140.6495361,0.4510100668,1,1,TRUE,,63.43435669,0.5335466667,0.5187797566,2.267573333,0.9301046517,7.977637264,326.2216906,0.2700867656,0.001038033381,100,0.9424891837,,,,
P10,Bilateral Leg Straddle,hip,vector-vector,both,107.866188,112.2293549,0.03887723327,1,1,TRUE,,4.363166809,1.871825397,1.065772862,3.567063492,0.8603165932,11.05049128,355.4448567,0.1535841299,0.002326285199,98.97959184,0.7056992602,,,,
P10,Kneeling Knee Flexion,knee,vector-reference,left,75.3894043,82.96122742,0.09126942014,1,1,TRUE,,7.57182312,0.5541988304,0.7725989823,3.359830409,0.6858413308,10.35409329,619.4623461,1.813189189,0.01523685241,100,0.8103030643,,,,
P10,Kneeling Knee Flexion,knee,vector-reference,right,74.58563614,85.41240692,0.1267587599,1,1,TRUE,,10.82677078,0.5112204724,0.4016802393,0.6816272966,0.5625135773,15.04435242,1166.906556,2.1639028,0.009385448956,99.2,0.8723498793,,,,
P10,Prone Trunk Extension,trunk,vector-reference,both,48.61682892,79.70346069,0.3900286324,1,1,TRUE,,31.08663177,0.9528571429,0.4141884383,2.109897959,0.8284583226,4.825496768,215.0818702,0.6149323568,0.009560672715,100,0.8141302997,,,,
